transID,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount,transportationType,age,ageGroup,tapInHour,tripDuration,dayName,date,tapOutStatus,name
FTGY161E2O14MG,F,2002,JAK.42,Kampung Melayu - Pondok Kelapa,1.0,B03484P,Sbr. Dirjen Anggaran,-6.227253,106.898692,18,2023-04-03 05:35:17,B03953P,Sbr. Klinik Win Medika,-6.22016,106.89843,22.0,2023-04-03 05:56:59,0.0,Mikrotrans,21,Dewasa Awal,5,21.7,Monday,2023-04-03,Success,DUREN SAWIT
IXJW013G5W79VX,M,2002,JAK.02,Kampung Melayu - Duren Sawit,0.0,B02665P,Ps. Pondok Bambu 1,-6.238102,106.90243,29,2023-04-03 06:36:49,B00636P,Gereja Santa Anna 1,-6.233953,106.90998,33.0,2023-04-03 07:13:58,0.0,Mikrotrans,21,Dewasa Awal,6,37.15,Monday,2023-04-03,Success,DUREN SAWIT
IQBJ843C4G34DE,F,2009,JAK.36,Cilangkap - Cililitan,0.0,B02638P,Ps. Kramat Jati 2,-6.269037,106.86664,40,2023-04-03 05:58:04,B01428P,Jln. Olahraga 1 Raya Bogor,-6.267006,106.86595,41.0,2023-04-03 06:39:16,0.0,Mikrotrans,14,Remaja,5,41.2,Monday,2023-04-03,Success,KRAMAT JATI
NICD824U6H93DE,F,1988,JAK.06,Kampung Rambutan - Pondok Gede,0.0,B01301P,Jln. Kramat Lubang Buaya,-6.291363,106.90599,12,2023-04-03 05:37:47,B02767P,Pertigaan Cedang 1,-6.301603,106.9125,24.0,2023-04-03 06:06:12,0.0,Mikrotrans,35,Dewasa Madya,5,28.416666666666668,Monday,2023-04-03,Success,CIPAYUNG
YEOK544W1J67OX,M,1993,JAK.14,Tanah Abang - Meruya,1.0,B01875P,Kec. Kembangan,-6.195068,106.74247,7,2023-04-03 05:33:47,B01180P,Jln. Jeruk Manis,-6.197439,106.76534,18.0,2023-04-03 06:13:36,0.0,Mikrotrans,30,Dewasa Awal,5,39.81666666666667,Monday,2023-04-03,Success,KEMBANGAN
KHKM512K0T88LD,F,1985,JAK.15,Bulak Turi - Tanjung Priok,0.0,B05351P,SMPN 143,-6.108442,106.93549,16,2023-04-03 05:15:03,B01325P,Jln. Lorong 22,-6.108141,106.89932,44.0,2023-04-03 05:51:14,0.0,Mikrotrans,38,Dewasa Madya,5,36.18333333333333,Monday,2023-04-03,Success,CILINCING
YJMS457L2O20JF,F,1969,JAK.71,Kampung Rambutan - Pinang Ranti,0.0,B03360P,SDN Dukuh 01,-6.287794,106.87406,18,2023-04-03 05:12:37,B04218P,Sbr. Polsek Makasar,-6.29086,106.8844,21.0,2023-04-03 06:06:48,0.0,Mikrotrans,54,Dewasa Akhir,5,54.18333333333333,Monday,2023-04-03,Success,KRAMAT JATI
NNAE999Q4V92XM,M,1978,JAK.77,Tanjung Priok - Jembatan Item,0.0,B06877P,Simpang Jln. Cemara,-6.12663,106.85721,1,2023-04-03 05:11:15,B06065P,Puskesmas Sunter Agung I,-6.132513,106.85557,9.0,2023-04-03 05:35:24,0.0,Mikrotrans,45,Dewasa Akhir,5,24.15,Monday,2023-04-03,Success,TANJUNG PRIOK
ZHFN555D9L05LU,F,1970,JAK.44,Andara - Stasiun Universitas Pancasila,0.0,B04386P,Sbr. Sekolah Islam Al Azhar Jagakarsa,-6.330035,106.82621,25,2023-04-03 05:50:00,B06832P,Gg. H. Ali,-6.327369,106.833219,34.0,2023-04-03 06:37:49,0.0,Mikrotrans,53,Dewasa Akhir,5,47.81666666666667,Monday,2023-04-03,Success,JAGAKARSA
VHUC320U1S58CB,F,2000,JAK.48B,Stasiun Tebet - Kampung Melayu,0.0,B02272P,Masjid As Sudairi,-6.220626,106.8591,1,2023-04-03 06:12:01,B01732P,Jatinegara Timur,-6.220486,106.86825,11.0,2023-04-03 06:57:35,0.0,Mikrotrans,23,Dewasa Awal,6,45.56666666666667,Monday,2023-04-03,Success,TEBET
HHCJ093F0W41XK,F,1981,JAK.19,Pinang Ranti - Kampung Rambutan,0.0,B00563P,Gg. Suka Damai,-6.295718,106.89906,14,2023-04-03 05:57:05,B01297P,Jln. Kramat I Rawabinong,-6.298205,106.9054,27.0,2023-04-03 06:49:41,0.0,Mikrotrans,42,Dewasa Madya,5,52.6,Monday,2023-04-03,Success,CIPAYUNG
GYVC538M6B25WO,M,1989,JAK.75,Cililitan - Kp. Pulo,0.0,B00671P,Graha Dirgantara,-6.255702,106.88296,4,2023-04-03 05:42:25,B03786P,Sbr. Jln. Masjid Al Munir,-6.271471,106.87734,25.0,2023-04-03 06:21:13,0.0,Mikrotrans,34,Dewasa Awal,5,38.8,Monday,2023-04-03,Success,MAKASAR
TKQW976R2D32RY,F,1994,JAK.52,Terminal Kalideres - Terminal Muara Angke,0.0,B01829P,Karang Asri,-6.112414,106.77306,26,2023-04-03 05:21:39,B05714P,Term. Muara Angke 2,-6.109001,106.77349,27.0,2023-04-03 06:12:00,0.0,Mikrotrans,29,Dewasa Awal,5,50.35,Monday,2023-04-03,Success,PENJARINGAN
PCGM443G2W62OB,M,1977,JAK.37,Cililitan - Condet via Kayu Manis,0.0,B00908P,Jln. Batu Permata V,-6.279588,106.86244,12,2023-04-03 05:36:10,B04716P,Simpang Batu Ampar IV Inerbang,-6.28148,106.86361,14.0,2023-04-03 06:25:54,0.0,Mikrotrans,46,Dewasa Akhir,5,49.733333333333334,Monday,2023-04-03,Success,KRAMAT JATI
PEGV120E5W96OH,F,1983,JAK.31,Blok M - Andara,0.0,B03711P,Sbr. Jln. H. Jian 2B Cipete,-6.264625,106.8043,18,2023-04-03 06:07:43,B05388P,SMPN 68,-6.278279,106.79964,30.0,2023-04-03 06:44:41,0.0,Mikrotrans,40,Dewasa Madya,6,36.96666666666667,Monday,2023-04-03,Success,KEBAYORAN BARU
UNSO267V8F26WP,M,1994,JAK.43C,Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,1.0,B06086P,Tebet Eco Park Selatan 3,-6.241699,106.85365,1,2023-04-03 06:23:34,B06268P,Rusun Harum Tebet,-6.235196,106.85195,4.0,2023-04-03 07:14:33,0.0,Mikrotrans,29,Dewasa Awal,6,50.983333333333334,Monday,2023-04-03,Success,TEBET
RMJF585F2W51BQ,M,2003,JAK.117,Tanjung Priok - Tanah Merdeka,0.0,B04040P,Sbr. Masjid Ar Rohmah,-6.118964,106.89568,7,2023-04-03 06:23:23,B04863P,Simpang Jln. Kramat Jaya 1,-6.108656,106.91734,25.0,2023-04-03 06:55:01,0.0,Mikrotrans,20,Dewasa Awal,6,31.633333333333333,Monday,2023-04-03,Success,KOJA
SVRH922T8G79FY,M,1956,JAK.49,Lebak Bulus - Cipulir,0.0,B01790P,JPO Timur Pondok Indah 1,-6.287054,106.77989,48,2023-04-03 05:59:21,B05492P,St. MRT Lebak Bulus,-6.289421,106.77436,49.0,2023-04-03 06:53:50,0.0,Mikrotrans,67,Lansia,5,54.483333333333334,Monday,2023-04-03,Success,KEBAYORAN LAMA
XVWU715D9V59FV,F,1980,JAK.44,Andara - Stasiun Universitas Pancasila,0.0,B01147P,Jln. H. Terin Pangkalan Jati,-6.327961,106.80054,0,2023-04-03 06:45:56,B01846P,Kav Polri Blok E Jagakarsa,-6.314309,106.81633,13.0,2023-04-03 07:36:05,0.0,Mikrotrans,43,Dewasa Madya,6,50.15,Monday,2023-04-03,Success,
CUBV879R6E17WU,F,1995,JAK.20,Cawang UKI - Lubang Buaya,0.0,B03553P,Sbr. Gg. Pos Komodor,-6.265515,106.88332,13,2023-04-03 06:09:03,B05751P,TK Angkasa 8,-6.285191,106.90125,39.0,2023-04-03 06:40:10,0.0,Mikrotrans,28,Dewasa Awal,6,31.116666666666667,Monday,2023-04-03,Success,MAKASAR
NZOZ563E7A86QX,F,1996,JAK.118,Taman Waduk Papanggo - Kota Tua,0.0,B06696P,Jln. Hidup Baru,-6.1398,106.8352,25,2023-04-03 06:36:31,B02213P,Mangga Dua Square,-6.135311,106.83102,28.0,2023-04-03 07:16:53,0.0,Mikrotrans,27,Dewasa Awal,6,40.36666666666667,Monday,2023-04-03,Success,PADEMANGAN
XTVN886V6A58RC,F,1977,JAK.36,Cilangkap - Cililitan,1.0,B04977P,Simpang Mabes Hankam Raya Ceger,-6.306299,106.88855,13,2023-04-03 06:27:14,B02576P,Panti Sosial Bina Laras,-6.31946,106.89013,19.0,2023-04-03 07:23:47,0.0,Mikrotrans,46,Dewasa Akhir,6,56.55,Monday,2023-04-03,Success,CIPAYUNG
LDMO585I7Y51LA,M,1985,JAK.27,Pulo Gebang - Rorotan,1.0,B02835P,Pintu Air Gempol 1,-6.183327,106.95957,23,2023-04-03 06:56:17,B00575P,Gg. Umbang Lingkar Timur,-6.189303,106.94454,33.0,2023-04-03 07:53:38,0.0,Mikrotrans,38,Dewasa Madya,6,57.35,Monday,2023-04-03,Success,CAKUNG
XHEU123Y1Z09JV,M,1994,JAK.13,Tanah Abang - Jembatan Lima,1.0,B04949P,Simpang Kopi Bandengan Selatan,-6.135839,106.80689,6,2023-04-03 06:37:34,B02692P,Ps. Tomas,-6.179192,106.81306,29.0,2023-04-03 07:13:31,0.0,Mikrotrans,29,Dewasa Awal,6,35.95,Monday,2023-04-03,Success,TAMBORA
IKZD231G3P02MZ,F,1991,JAK.84,Terminal Kampung Melayu - Kapin Raya,0.0,B02598P,Ps. Ciplak Cibesel,-6.236104,106.88067,10,2023-04-03 06:58:49,B05824P,Univ. Borobudur 1,-6.24157,106.89641,17.0,2023-04-03 07:44:32,0.0,Mikrotrans,32,Dewasa Awal,6,45.71666666666667,Monday,2023-04-03,Success,JATINEGARA
HOIM404G0W62HL,M,2003,JAK.08,Roxy - Benhil,1.0,B04088P,Sbr. Mess Polwan Esthi Bhakti Warapsari,-6.206604,106.81005,6,2023-04-03 05:46:08,B01925P,Kel. Kb. Kacang,-6.190837,106.81501,17.0,2023-04-03 06:44:17,0.0,Mikrotrans,20,Dewasa Awal,5,58.15,Monday,2023-04-03,Success,TANAH ABANG
VBTE237H7I30UK,M,1992,JAK.23,Senen - Pisangan Baru,1.0,B06443P,Jln. Pramuka 1,-6.195283,106.860021,10,2023-04-03 06:53:49,B06129P,BPPK Jakarta,-6.189843,106.858846,16.0,2023-04-03 07:24:35,0.0,Mikrotrans,31,Dewasa Awal,6,30.766666666666666,Monday,2023-04-03,Success,MATRAMAN
ENXD420E9G92TO,F,1993,JAK.07,Tanah Abang - Grogol via Tawakal,0.0,B05884P,Wisma Asia II,-6.189386,106.79791,19,2023-04-03 06:21:20,B04952P,Simpang Kota Bambu Utara I,-6.186126,106.80866,24.0,2023-04-03 07:09:28,0.0,Mikrotrans,30,Dewasa Awal,6,48.13333333333333,Monday,2023-04-03,Success,PALMERAH
AQHO766Z1B38WS,F,1977,JAK.22,Dwikora - Penas Kalimalang,1.0,B02167P,Mabes Au Dinas Psikologi,-6.251267,106.88826,9,2023-04-03 06:03:19,B04983P,Simpang Mandala Maphalindo,-6.249189,106.89108,10.0,2023-04-03 06:45:59,0.0,Mikrotrans,46,Dewasa Akhir,6,42.666666666666664,Monday,2023-04-03,Success,MAKASAR
EJEA941B6N13PQ,M,1984,JAK.115,Term. Tj. Priok - Pegangsaan II IGI,1.0,B01056P,Jln. Elpa Putih II,-6.110053,106.88721,42,2023-04-03 06:19:00,B05728P,Term. Tj. Priok 1,-6.1098,106.88118,44.0,2023-04-03 06:53:35,0.0,Mikrotrans,39,Dewasa Madya,6,34.583333333333336,Monday,2023-04-03,Success,TANJUNG PRIOK
PQFD683F4V24VJ,F,1994,JAK.21,Cililitan - Dwikora,1.0,B02443P,Midi Utama Cililitan 1,-6.264014,106.86929,28,2023-04-03 06:23:01,B01247P,Jln. Kelapa Gading III Cililitan Besar,-6.263858,106.86859,29.0,2023-04-03 07:20:25,0.0,Mikrotrans,29,Dewasa Awal,6,57.4,Monday,2023-04-03,Success,KRAMAT JATI
EUPW593V1E27UK,F,1970,JAK.26,Rawamangun - Duren Sawit,1.0,B00527P,Gg. Padi Pelita Cipinang,-6.211832,106.8877,19,2023-04-03 05:10:16,B03600P,Sbr. GOR Pondok Bambu,-6.223572,106.90377,41.0,2023-04-03 06:04:39,0.0,Mikrotrans,53,Dewasa Akhir,5,54.38333333333333,Monday,2023-04-03,Success,PULOGADUNG
VQIJ499K5A71UK,F,2008,JAK.64,Lenteng Agung - Aseli,1.0,B04342P,Sbr. SDN Jagakarsa 05,-6.337,106.81848,21,2023-04-03 05:18:28,B05326P,SMKN 63,-6.351697,106.79855,35.0,2023-04-03 06:17:08,0.0,Mikrotrans,15,Remaja,5,58.666666666666664,Monday,2023-04-03,Success,JAGAKARSA
RIGQ092B1C22JU,F,1994,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,1.0,B04331P,Sbr. SDN Cipedak 05,-6.354871,106.80112,46,2023-04-03 05:37:23,B05670P,Tanah Baru Cipedak,-6.363462,106.80684,50.0,2023-04-03 06:15:31,0.0,Mikrotrans,29,Dewasa Awal,5,38.13333333333333,Monday,2023-04-03,Success,JAGAKARSA
IHDN076U2V99UG,M,1997,JAK.01,Tanjung Priok - Plumpang,1.0,B01059P,Jln. Flamboyan Berdikari,-6.120868,106.89439,0,2023-04-03 05:41:21,B01629P,Jln. Swasembada Barat V,-6.124938,106.88497,14.0,2023-04-03 06:02:15,0.0,Mikrotrans,26,Dewasa Awal,5,20.9,Monday,2023-04-03,Success,KOJA
MNQL870O6S91AP,M,2010,JAK.120,JIS - Terminal Muara Angke,0.0,B04584P,Sbr. Waduk Pluit,-6.113824,106.79461,34,2023-04-03 06:43:23,B03323P,SD Diakonia 2,-6.112346,106.78905,36.0,2023-04-03 07:18:43,0.0,Mikrotrans,13,Remaja,6,35.333333333333336,Monday,2023-04-03,Success,PENJARINGAN
NHJE093C3H53DR,M,1991,JAK.85,Bintara - Cipinang Indah,1.0,B04097P,Sbr. Minimarket Pondok Kelapa,-6.228599,106.93531,32,2023-04-03 06:20:22,B02463P,Minimarket Pondok Kopi,-6.218369,106.93956,39.0,2023-04-03 06:47:58,0.0,Mikrotrans,32,Dewasa Awal,6,27.6,Monday,2023-04-03,Success,DUREN SAWIT
CXLY791F0A96CY,F,2004,JAK.10,Tanah Abang - Kota,1.0,B03278P,Rusun Karang Anyar,-6.153256,106.82748,20,2023-04-03 06:33:06,B00086P,AURI Jatibaru,-6.182985,106.81407,40.0,2023-04-03 07:24:33,0.0,Mikrotrans,19,Remaja,6,51.45,Monday,2023-04-03,Success,SAWAH BESAR
ZJTC474A5Y97DB,F,1991,JAK.36,Cilangkap - Cililitan,1.0,B02834P,Pintu 3 TMII,-6.305153,106.88853,12,2023-04-03 05:32:36,B04977P,Simpang Mabes Hankam Raya Ceger,-6.306299,106.88855,13.0,2023-04-03 05:55:04,0.0,Mikrotrans,32,Dewasa Awal,5,22.466666666666665,Monday,2023-04-03,Success,CIPAYUNG
ESRV660T4A87LG,M,1976,JAK.115,Term. Tj. Priok - Pegangsaan II IGI,1.0,B06616P,Sbr. SPBU Tugu Selatan,-6.13436,106.91575,21,2023-04-03 06:43:13,B05217P,Simpang Waru Kramat Jaya,-6.118678,106.91659,29.0,2023-04-03 07:07:51,0.0,Mikrotrans,47,Dewasa Akhir,6,24.633333333333333,Monday,2023-04-03,Success,KOJA
EPTW774I8X04SL,M,2002,JAK.14,Tanah Abang - Meruya,1.0,B04192P,Sbr. Perum Qoriyah Toyibah,-6.19777,106.75877,15,2023-04-03 05:02:59,B01586P,Jln. Sitrun,-6.197192,106.76696,19.0,2023-04-03 05:44:40,0.0,Mikrotrans,21,Dewasa Awal,5,41.68333333333333,Monday,2023-04-03,Success,KEMBANGAN
DRWG144J1O73RK,F,1982,JAK.20,Cawang UKI - Lubang Buaya,0.0,B02777P,Pertigaan Jengki Raya,-6.255038,106.87911,4,2023-04-03 06:32:03,B05244P,SMA Angkasa 2,-6.276218,106.88766,28.0,2023-04-03 07:13:15,0.0,Mikrotrans,41,Dewasa Madya,6,41.2,Monday,2023-04-03,Success,MAKASAR
FUMU752I1C08HI,F,1973,JAK.07,Tanah Abang - Grogol via Tawakal,1.0,B02505P,Museum Textile,-6.188656,106.80954,29,2023-04-03 06:35:50,P00083,Jak Lingko Tanah Abang,-6.185496,106.81105,31.0,2023-04-03 07:24:48,0.0,Mikrotrans,50,Dewasa Akhir,6,48.96666666666667,Monday,2023-04-03,Success,PALMERAH
GTMQ047C5K28AQ,F,1991,JAK.41,Kampung Melayu - Pulo Gadung,0.0,B03590P,Sbr. Gereja Kristen Jawa,-6.2014,106.88588,28,2023-04-03 06:28:08,B05479P,St. LRT Velodrome 3,-6.19151,106.89108,37.0,2023-04-03 07:00:07,0.0,Mikrotrans,32,Dewasa Awal,6,31.983333333333334,Monday,2023-04-03,Success,PULOGADUNG
HXUH313N2A98AI,F,2006,JAK.86,Term. Rawamangun - Term. Manggarai,1.0,B06560P,Kel. Rawamangun,-6.199099,106.8808,19,2023-04-03 05:06:27,B03064P,Puskesmas Rawamangun,-6.197034,106.88839,24.0,2023-04-03 05:46:02,0.0,Mikrotrans,17,Remaja,5,39.583333333333336,Monday,2023-04-03,Success,PULOGADUNG
VPSY493S9U39DR,M,1966,JAK.07,Tanah Abang - Grogol via Tawakal,0.0,B01293P,Jln. Kota Bambu Raya,-6.186802,106.80783,23,2023-04-03 05:54:09,B01919P,Kel. Jati Pulo,-6.175757,106.80318,35.0,2023-04-03 06:44:30,0.0,Mikrotrans,57,Pra-lansia,5,50.35,Monday,2023-04-03,Success,PALMERAH
FIFR189E4T94CM,F,2005,JAK.49,Lebak Bulus - Cipulir,0.0,B01397P,Jln. Metro Duta 1,-6.283107,106.78028,47,2023-04-03 05:49:45,B06650P,Jln. Lebak Bulus Raya,-6.289748,106.770854,51.0,2023-04-03 06:36:45,0.0,Mikrotrans,18,Remaja,5,47.0,Monday,2023-04-03,Success,KEBAYORAN LAMA
ZWFT415T9A11PB,M,1987,JAK.26,Rawamangun - Duren Sawit,0.0,B00562P,Gg. Subuh,-6.211257,106.89058,32,2023-04-03 06:49:22,B04776P,Simpang Cipinang Kebembem 1,-6.207671,106.88522,40.0,2023-04-03 07:40:31,0.0,Mikrotrans,36,Dewasa Madya,6,51.15,Monday,2023-04-03,Success,PULOGADUNG
DCSF768M9T15VI,M,1984,JAK.73,Jambore Cibubur - Pasar Rebo,1.0,B00606P,Gelanggang Remaja Ciracas,-6.33946,106.88226,20,2023-04-03 05:27:06,B01020P,Jln. Dahlia KDW,-6.348905,106.88437,53.0,2023-04-03 06:06:56,0.0,Mikrotrans,39,Dewasa Madya,5,39.833333333333336,Monday,2023-04-03,Success,CIRACAS
FCGU527E9L73OT,F,1981,JAK.32,Lebak Bulus - Petukangan,1.0,B04560P,Sbr. TK Tunas Harapan,-6.232157,106.75153,12,2023-04-03 05:07:15,B05135P,Simpang Sabar Raya Petukangan 2,-6.236966,106.7526,19.0,2023-04-03 06:02:31,0.0,Mikrotrans,42,Dewasa Madya,5,55.266666666666666,Monday,2023-04-03,Success,PESANGGRAHAN
EXXT338K3R42NW,F,1967,JAK.50,Kalideres - Puri Kembangan,0.0,B05499P,St. Rawa Buaya,-6.163471,106.72374,31,2023-04-03 06:25:19,B02939P,Pool Blue Bird Puri 2,-6.160742,106.72685,34.0,2023-04-03 06:57:28,0.0,Mikrotrans,56,Pra-lansia,6,32.15,Monday,2023-04-03,Success,CENGKARENG
MKEZ057X9X58IV,F,1990,JAK.29,Tanjung Priok - Sukapura,1.0,B03211P,RSUD Koja,-6.108205,106.89982,7,2023-04-03 06:52:40,B05577P,Taman Barito Sembar,-6.132105,106.92023,32.0,2023-04-03 07:25:02,0.0,Mikrotrans,33,Dewasa Awal,6,32.36666666666667,Monday,2023-04-03,Success,PADEMANGAN
WFVC738E7S60SH,M,1968,JAK.48A,Stasiun Tebet - Rusun Karet Tengsin,1.0,B05695P,Telkom Tebet,-6.224064,106.8516,21,2023-04-03 05:24:09,B02320P,Masjid Jami Al Mamur Bukit Duri,-6.225059,106.85606,23.0,2023-04-03 05:54:13,0.0,Mikrotrans,55,Pra-lansia,5,30.066666666666666,Monday,2023-04-03,Success,TEBET
YZIR959B9M08IW,M,1989,JAK.06,Kampung Rambutan - Pondok Gede,0.0,B02234P,Masjid Al Barokah 1,-6.301819,106.91382,25,2023-04-03 05:33:44,B03795P,Sbr. Jln. Mini II,-6.308966,106.90774,37.0,2023-04-03 06:15:07,0.0,Mikrotrans,34,Dewasa Awal,5,41.38333333333333,Monday,2023-04-03,Success,CIPAYUNG
GKYF771L7C08EG,F,2010,JAK.45,Lebak Bulus - Ragunan,1.0,B02876P,PLN Corporate University 2,-6.300935,106.82136,3,2023-04-03 06:25:37,B04429P,Sbr. SMAN 66,-6.306177,106.80368,24.0,2023-04-03 07:25:05,0.0,Mikrotrans,13,Remaja,6,59.46666666666667,Monday,2023-04-03,Success,PASAR MINGGU
BLXH744N3M26SP,F,1988,JAK.42,Kampung Melayu - Pondok Kelapa,1.0,B02016P,Komplek Abadi 2,-6.229722,106.90813,14,2023-04-03 06:18:07,B01380P,Jln. Melati Bhakti,-6.229557,106.9015,16.0,2023-04-03 06:46:47,0.0,Mikrotrans,35,Dewasa Madya,6,28.666666666666668,Monday,2023-04-03,Success,DUREN SAWIT
OLPS769M0T63FM,F,2012,JAK.110A,Rusun Marunda - Terminal Terpadu Pulo Gebang,1.0,B04368P,Sbr. SDN Rorotan 03,-6.144294,106.95622,39,2023-04-03 05:30:08,Unknown,Unknown,,,,,0.0,Mikrotrans,11,Remaja,5,,Monday,2023-04-03,Error,CILINCING
LLXC166B0Z26RJ,F,1990,JAK.46,Pasar Minggu - Jagakarsa,0.0,B02298P,Masjid Darussalam Cipedak,-6.346656,106.81014,5,2023-04-03 06:33:49,B05219P,Simpang Warung Sila Rindang,-6.345472,106.81167,6.0,2023-04-03 07:17:09,0.0,Mikrotrans,33,Dewasa Awal,6,43.333333333333336,Monday,2023-04-03,Success,JAGAKARSA
NRFL719G5S35TX,M,1975,JAK.27,Pulo Gebang - Rorotan,0.0,B02232P,Masjid Al Barkah 2,-6.184779,106.94595,17,2023-04-03 05:39:11,B00615P,Gempol Baru 2,-6.186351,106.9547,21.0,2023-04-03 06:12:30,0.0,Mikrotrans,48,Dewasa Akhir,5,33.31666666666667,Monday,2023-04-03,Success,CAKUNG
RXHF248A6A23LD,M,1986,JAK.18,Kalibata - Kuningan,0.0,B04417P,Sbr. SMA Islam As Syafiiyah 01,-6.220785,106.85332,34,2023-04-03 06:12:48,B03014P,Puri Imperium,-6.210463,106.83229,59.0,2023-04-03 07:08:32,0.0,Mikrotrans,37,Dewasa Madya,6,55.733333333333334,Monday,2023-04-03,Success,TEBET
GFGT903H7Y70XU,F,2004,JAK.51,Taman Kota - Budi Luhur,0.0,B04552P,Sbr. TK Al Husna Petukangan Utara,-6.231887,106.74517,3,2023-04-03 06:06:35,B04932P,Simpang Kembangan Raya 2,-6.176148,106.74794,42.0,2023-04-03 06:56:04,0.0,Mikrotrans,19,Remaja,6,49.483333333333334,Monday,2023-04-03,Success,PESANGGRAHAN
HVGS687T2A21US,F,1990,JAK.48A,Stasiun Tebet - Rusun Karet Tengsin,1.0,B00115P,UPT. LLHD 2,-6.225501,106.83489,17,2023-04-03 06:27:04,B05695P,Telkom Tebet,-6.224064,106.8516,21.0,2023-04-03 07:13:02,0.0,Mikrotrans,33,Dewasa Awal,6,45.96666666666667,Monday,2023-04-03,Success,SETIABUDI
